id,attributeName,attributeDefinition,storageType,missingValueCode,missingValueCodeExplanation,measurementScale,domain,formatString,definition,unit,numberType,exclusive...7,minimum,exclusive...9,maximum,propertyLabel...13,propertyURI...14,valueLabel...15,valueURI...16,propertyLabel...17,propertyURI...18,valueLabel...19,valueURI...20,propertyLabel,propertyURI,valueLabel,valueURI,metadata_pid
site-44,site,location of sampling,string,NA,data unavailable,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
date-45,date,"date of sampling, YYYY-MM-DD format",date,NA,data unavailable,dateTime,dateTimeDomain,YYYY-MM-DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
timeEST-46,timeEST,24 hour Eastern standard Time,date,NA,data unavailable,dateTime,dateTimeDomain,hh:mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
barcode-47,barcode,barcode inventory number for sample stored in Hubbard Brook physical sample archive,string,NA,No 1:1 match with this record and physical sample at this time,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
pH-48,pH,a measure of hydrogen ion concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,dimensionless,real,false,3.7,false,7.22,has unit,http://qudt.org/schema/qudt/hasUnit,Unitless,http://qudt.org/vocab/unit/UNITLESS,has unit,http://qudt.org/schema/qudt/hasUnit,Unitless,http://qudt.org/vocab/unit/UNITLESS,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
DIC-49,DIC,Dissolved inorganic carbon concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,micromolePerLiter,whole,false,0,false,961,has unit,http://qudt.org/schema/qudt/hasUnit,Micromoles per litre,http://qudt.org/vocab/unit/MicroMOL-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Micromoles per litre,http://qudt.org/vocab/unit/MicroMOL-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
spCond-50,spCond,"a measure of specific conductivity, or the concentration of dissolved ions",float,NA,data unavailable,ratio,numericDomain,NA,NA,microsiemensPerCentimeter,real,false,3,false,161,has unit,http://qudt.org/schema/qudt/hasUnit,Microsiemens Per Centimeter,http://qudt.org/vocab/unit/MicroS-PER-CentiM,has unit,http://qudt.org/schema/qudt/hasUnit,Microsiemens Per Centimeter,http://qudt.org/vocab/unit/MicroS-PER-CentiM,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
temp-51,temp,water temperature at sampling time,float,NA,data unavailable,ratio,numericDomain,NA,NA,celsius,real,false,-3,false,27.8,has unit,http://qudt.org/schema/qudt/hasUnit,Degree Celsius,http://qudt.org/vocab/unit/DEG_C,has unit,http://qudt.org/schema/qudt/hasUnit,Degree Celsius,http://qudt.org/vocab/unit/DEG_C,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
ANC960-52,ANC960,"acid neutralizing capacity measured on the Orion titration system, phased out after August 2017",float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,false,-999.9,false,179.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
ANCMet-53,ANCMet,acid neutralizing capacity measured on the Metrohm titration system,float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,false,-87.2,false,212.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
gageHt-54,gageHt,"measurement of gage height, or elevation of water surface in weir basin",float,NA,data unavailable,ratio,numericDomain,NA,NA,foot,real,false,0,false,6.5,has unit,http://qudt.org/schema/qudt/hasUnit,Foot,http://qudt.org/vocab/unit/FT,has unit,http://qudt.org/schema/qudt/hasUnit,Foot,http://qudt.org/vocab/unit/FT,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
hydroGraph-55,hydroGraph,describes the gradient of hydrograph limb at the time of sampling (ex. rising/falling/level),string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
flowGageHt-56,flowGageHt,streamflow rate measured as volume per unit time and is proportional to watershed area,float,NA,data unavailable,ratio,numericDomain,NA,NA,literPerSecond,real,false,0,false,2184.0394,has unit,http://qudt.org/schema/qudt/hasUnit,Liter Per Second,http://qudt.org/vocab/unit/L-PER-SEC,has unit,http://qudt.org/schema/qudt/hasUnit,Liter Per Second,http://qudt.org/vocab/unit/L-PER-SEC,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
fieldCode-57,fieldCode,"A code to describe field conditions during sample collection, or condition of the sample",string,NA,data unavailable,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
notes-58,notes,miscellaneous notes about data quality/sources. Notes that mention precipitation (e.g. ~1.83\ precip) refer to measurements in inches.,string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
uniqueID-59,uniqueID,"unique identifier combining sampling site, date (YYYYMMDD), and time (hh:ss, military) information",string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
waterYr-60,waterYr,Water Year June 1 thru to May 31,date,NA,data unavailable,dateTime,dateTimeDomain,YYYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
Ca-61,Ca,calcium concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.005,false,11.8,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
Mg-62,Mg,magnesium concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.005,false,4.62,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
K-63,K,potassium concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.003,false,8.35,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
Na-64,Na,sodium concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.005,false,3.8405,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
TMAl-65,TMAl,total monomeric aluminum concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.002,false,0.93,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
OMAl-66,OMAl,organic monomeric aluminum concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.0025,false,0.4789,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
AlICP-67,Al_ICP,aluminum concentration measured on ICP,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.003,false,1.1003,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
Alferron-68,Al_ferron,"aluminum concentration ferron measurement method (1964-1970, and 1976-2006)",float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.005,false,3.4,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
NH4-69,NH4,ammonium concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.001,false,1,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
SO4-70,SO4,sulfate concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.05,false,11.8,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
NO3-71,NO3,nitrate concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.002,false,82,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
Cl-72,Cl,chloride concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.005,false,5.189,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
PO4-73,PO4,soluble reactive phosphorus concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,1e-04,false,1.17,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
DOC-2,DOC,dissolved organic carbon concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.18,false,26.6196,NA,NA,NA,NA,NA,NA,NA,NA,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
TDN-75,TDN,total dissolved nitrogen,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.02,false,1.449,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
DON-76,DON,dissolved organic nitrogen,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,-0.4083,false,1.1125,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
SiO2-77,SiO2,silica concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,-3,false,15.3,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
Mn-78,Mn,manganese concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.001,false,0.1344,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
Fe-79,Fe,iron concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.0025,false,1.0198,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
F-80,F,fluoride concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,false,0.005,false,0.8352,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
cationCharge-81,cationCharge,sum of cations,float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,false,0,false,1343.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
anionCharge-82,anionCharge,sum of anions,float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,false,-1405.7,false,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
ionError-83,ionError,The difference between total cations and total anions expressed as a percentage,float,NA,data unavailable,ratio,numericDomain,NA,NA,percent,real,false,-161.4,false,196.3,has unit,http://qudt.org/schema/qudt/hasUnit,Percent,http://qudt.org/vocab/unit/PERCENT,has unit,http://qudt.org/schema/qudt/hasUnit,Percent,http://qudt.org/vocab/unit/PERCENT,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
duplicate-84,duplicate,"duplicate sample taken at the same site, date, and time as another sample",string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
sampleType-85,sampleType,"describes frequency and type of sample collected i.e. routine, event grab, or ISCO autosampler",string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
ionBalance-86,ionBalance,The difference between total cations and total anions,float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,false,-277.1,false,275.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
canonical-87,canonical,Is this sample used in the canonical watershed mass balances from Hubbard Brook?,string,NA,data unavailable,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
pHmetrohm-88,pHmetrohm,pH measured on Metrohm meter,string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/11
